n_estimators,learning_rate,num_leaves,min_child_samples,reg_lambda,pr_auc,roc_auc
1100,0.02,31,20,0.0,0.8474536406892362,0.9764914567427159
1100,0.02,31,20,1.0,0.8420243036471041,0.9736969643127075
1100,0.02,31,20,5.0,0.8415974519992633,0.9801209819640874
1100,0.02,31,20,10.0,0.8395334280107273,0.9733260227908592
1100,0.02,31,20,0.1,0.8391539940209759,0.972835412020229
